авааль нөхөр алтансүх минь|ᠠᠪᠠᠯᠢ ᠨᠥᠬᠥᠷ ᠠᠯᠲᠠᠩᠰᠦ᠋ᠬᠡ ᠮᠢᠨᠢ
авааль нөхөр алтансүхтэйгээ|ᠠᠪᠠᠯᠢ ᠨᠥᠬᠥᠷ ᠠᠯᠲᠠᠩᠰᠦ᠋ᠬᠡ ᠲᠡᠢ ᠪᠡᠨ
авааль нөхөрт чинь ховлохгүйэ|ᠠᠪᠠᠯᠢ ᠨᠥᠬᠥᠷ ᠲᠦ ᠴᠢᠨᠢ ᠬᠣᠪᠯᠠᠬᠤ ᠦᠭᠡᠢ ᠪᠡᠨ
аваачаад өгье гэсэн чинь|ᠠᠪᠠᠴᠢᠭᠠᠳ ᠥᠭᠭᠦᠶ᠎ᠡ ᠭᠡᠰᠡᠨ ᠴᠢᠨᠢ
ав ав ав түүнийг ав сав сав сав түүнтэй сав|ᠠᠪ ᠠᠪ ᠠᠪ ᠲᠡᠭᠦᠨ ᠢ ᠠᠪᠠ ᠰᠠᠪ ᠰᠠᠪ ᠰᠠᠪ ᠲᠡᠭᠦᠨ ᠲᠡᠢ ᠰᠠᠪᠠ
ав ав намайг бүхэнийг ав бүгдийг ав|ᠠᠪ ᠠᠪ ᠨᠠᠮᠠᠢ ᠪᠦᠬᠦᠨ ᠢ ᠠᠪ ᠪᠦᠭᠦᠳᠡ ᠶᠢ ᠠᠪ
аваргаас төрсөн аварга хүү|ᠠᠪᠤᠷᠭᠤ ᠠᠴᠠ ᠲᠦᠷᠦᠭᠰᠡᠨ ᠠᠪᠤᠷᠭᠤ ᠬᠡᠦ
аварга хүчит бөхчүүдийн түүхэн домог мөнхөрсөн|ᠠᠪᠤᠷᠭᠤ ᠬᠦᠴᠦᠲᠦ ᠪᠥᠬᠡᠴᠦᠳ ᠦᠨ ᠲᠡᠦᠬᠡᠨ ᠳᠣᠮᠣᠭ ᠮᠥᠩᠬᠡᠷᠡᠭᠰᠡᠨ
аварга хээрийн төвөргөөнд аялгуу өргөсөн монголоо|ᠠᠪᠤᠷᠭᠤ ᠬᠡᠭᠡᠷ᠎ᠡ ᠶᠢᠨ ᠲᠥᠪᠡᠷᠭᠡᠨ ᠳᠦ ᠠᠶᠠᠯᠭᠤ ᠡᠷᠭᠦᠭᠰᠡᠨ ᠮᠣᠩᠭᠣᠯ ᠢᠶᠠᠨ
аварга хээрийн хөлсөнд дэнж мялаасан наадам|ᠠᠪᠤᠷᠭᠤ ᠬᠡᠭᠡᠷ᠎ᠡ ᠶᠢᠨ ᠬᠥᠯᠦᠰᠦᠨ ᠳᠦ ᠳᠡᠨᠵᠢ ᠮᠢᠯᠢᠶᠠᠭᠰᠠᠨ ᠨᠠᠭᠠᠳᠤᠮ
аваргыг давж авсан начин|ᠠᠪᠤᠷᠭᠤ ᠶᠢ ᠳᠠᠪᠠᠵᠤ ᠠᠪᠤᠭᠰᠠᠨ ᠨᠠᠴᠢᠨ
аварл хайсан|ᠠᠪᠤᠷᠠᠯ ᠬᠠᠶᠢᠰᠠᠩ
аварч чадаагүй анхны амьдрал тэр цонхны цаана дүнсийнэ|ᠠᠪᠤᠷᠠᠵᠤ ᠴᠢᠳᠠᠭ᠎ᠠ ᠦᠭᠡᠢ ᠠᠩᠬᠠᠨ ᠤ ᠠᠮᠢᠳᠤᠷᠠᠯ ᠲᠡᠷᠡ ᠴᠣᠩᠬᠣᠨ ᠤ ᠴᠠᠭᠠᠨ᠎ᠠ ᠳᠦᠩᠰᠦᠶᠢᠨ᠎ᠡ
аварч явсан тарган гуравынхаа төлөө|ᠠᠪᠤᠷᠠᠵᠤ ᠶᠠᠪᠤᠭᠰᠠᠨ ᠲᠠᠷᠭᠤᠨ ᠭᠤᠷᠪᠠ ᠶᠢᠨ ᠢᠶᠠᠨ ᠲᠥᠯᠥᠭᠡ
аварч явсан тарган гурвынхаа төлөө|ᠠᠪᠤᠷᠠᠵᠤ ᠶᠠᠪᠤᠭᠰᠠᠨ ᠲᠠᠷᠭᠤᠨ ᠭᠤᠷᠪᠠ ᠶᠢᠨ ᠢᠶᠠᠨ ᠲᠥᠯᠥᠭᠡ
авах вэ аа бодёо|ᠠᠪᠬᠤ ᠪᠤᠢ ᠠ ᠪᠣᠳᠣᠶᠣ
