cyrillic,bichig,split
авилгал бас хээл хахууль авсан цөм,ᠠᠪᠯᠢᠭᠠᠯ ᠪᠠᠰᠠ ᠬᠡᠭᠡᠯᠢ ᠬᠠᠬᠤᠤᠯᠢ ᠠᠪᠤᠭᠰᠠᠨ ᠴᠥᠮ,train
авч ирнэ ээ,ᠠᠪᠴᠤ ᠢᠷᠡᠨ᠎ᠡ ᠡ,train
авна гэж зүүдэлсэн ч үгүй явлаа хө,ᠠᠪᠤᠨ᠎ᠠ ᠭᠡᠵᠦ ᠵᠡᠭᠦᠳᠦᠯᠡᠭᠰᠡᠨ ᠴᠤ ᠦᠭᠡᠢ ᠶᠠᠪᠤᠯ᠎ᠠ ᠬᠥ,train
авир нь дэндвэл маш муу,ᠠᠪᠤᠷᠢ ᠢᠨᠦ ᠳᠡᠩᠳᠡᠪᠡᠯ ᠮᠠᠰᠢ ᠮᠠᠭᠤ,train
авга ахын чинь авга нь африкийн пингвин,ᠠᠪᠠᠭ᠎ᠠ ᠠᠬ᠎ᠠ ᠶᠢᠨ ᠴᠢᠨᠢ ᠠᠪᠠᠭ᠎ᠠ ᠨᠢ ᠠᠹᠷᠢᠺᠠ ᠶᠢᠨ ᠫᠢᠩᠸᠢᠨ,train
авах ёстой байсан хүн нь,ᠠᠪᠬᠤ ᠶᠣᠰᠣᠲᠠᠢ ᠪᠠᠶᠢᠭᠰᠠᠨ ᠬᠦᠮᠦᠨ ᠨᠢ,train
авгай хүүхэд ажил төрөл биднийг салгаж чадна гэж үү,ᠠᠪᠠᠭᠠᠢ ᠬᠡᠦᠬᠡᠳ ᠠᠵᠢᠯ ᠲᠥᠷᠥᠯ ᠪᠢᠳᠡᠨ ᠢ ᠰᠠᠯᠭᠠᠵᠤ ᠴᠢᠳᠠᠨ᠎ᠠ ᠭᠡᠵᠦ ᠦᠦ,train
авдар авдараар нь пивийг,ᠠᠪᠳᠠᠷ᠎ᠠ ᠠᠪᠳᠠᠷ᠎ᠠ ᠪᠠᠷ ᠨᠢ ᠫᠢᠸ ᠢ,train
авъяас билгийн тэнгэр,ᠠᠪᠢᠶᠠᠰ ᠪᠢᠯᠢᠭ ᠦᠨ ᠲᠩᠷᠢ,train
авах гээхийн ёсоор хандаж алхам би улам цаашилна,ᠠᠪᠬᠤ ᠭᠡᠭᠡᠬᠦ ᠶᠢᠨ ᠶᠣᠰᠣᠭᠠᠷ ᠬᠠᠨᠳᠤᠵᠤ ᠠᠯᠬᠤᠮ ᠪᠢ ᠤᠯᠠᠮ ᠴᠠᠭᠠᠰᠢᠯᠠᠨ᠎ᠠ,train
авгай хүүхдэд ховлож атаархана,ᠠᠪᠤᠭᠠᠢ ᠬᠡᠦᠬᠡᠳ ᠲᠦ ᠬᠣᠪᠯᠠᠵᠤ ᠠᠲᠠᠭᠠᠷᠬᠠᠨ᠎ᠠ,train
авсан пиво ээ шимэн сороод,ᠠᠪᠤᠭᠰᠠᠨ ᠫᠢᠸᠣ᠋ ᠡ ᠰᠢᠮᠡᠨ ᠰᠣᠷᠣᠭᠠᠳ,train
ав хүссэн бүхнээ болохгүй бол хүчээр,ᠠᠪ ᠬᠦᠰᠡᠭᠰᠡᠨ ᠪᠦᠬᠦᠨ ᠢᠶᠡᠨ ᠪᠣᠯᠬᠤ ᠦᠭᠡᠢ ᠪᠣᠯ ᠬᠦᠴᠢ ᠪᠡᠷ,train
аварч явсан тарган гуравынхаа төлөө,ᠠᠪᠤᠷᠠᠵᠤ ᠶᠠᠪᠤᠭᠰᠠᠨ ᠲᠠᠷᠭᠤᠨ ᠭᠤᠷᠪᠠ ᠶᠢᠨ ᠢᠶᠠᠨ ᠲᠥᠯᠥᠭᠡ,train
авдар авдраар нь зөөгөөд,ᠠᠪᠳᠠᠷ᠎ᠠ ᠠᠪᠳᠠᠷ᠎ᠠ ᠪᠠᠷ ᠨᠢ ᠵᠥᠭᠡᠭᠡᠳ,train
авч ирнээ,ᠠᠪᠴᠤ ᠢᠷᠡᠨ᠎ᠡ,train
авралтай түшигтэй миний аав уу даа,ᠠᠪᠤᠷᠠᠯ ᠲᠠᠢ ᠲᠦᠰᠢᠭ ᠲᠡᠢ ᠮᠢᠨᠦ ᠠᠪᠤ ᠤᠤ ᠳ᠋ᠠ,train
аврал нь байсан усан минь,ᠠᠪᠤᠷᠠᠯ ᠨᠢ ᠪᠠᠶᠢᠭᠰᠠᠨ ᠤᠰᠤᠨ ᠮᠢᠨᠢ,train
авсан мөнгөөрөө архи авч уулаа,ᠠᠪᠤᠭᠰᠠᠨ ᠮᠥᠩᠭᠥ ᠪᠡᠷ ᠢᠶᠡᠨ ᠠᠷᠢᠬᠢ ᠠᠪᠴᠤ ᠠᠭᠤᠯᠠ ᠪᠠᠨ,train
авгай хүүхнүүдэд тараачхаад ирэв үү дээ хөөрхий яа хө,ᠠᠪᠤᠭᠠᠢ ᠬᠡᠦᠬᠡᠨ ᠨᠦᠭᠦᠳ ᠲᠦ ᠲᠠᠷᠠᠭᠠᠴᠢᠬᠠᠭᠠᠳ ᠢᠷᠡᠪᠡ ᠦᠦ ᠳ᠋ᠡ ᠬᠥᠭᠡᠷᠦᠬᠦᠢ ᠶᠠ ᠬᠥ,train
авааль нөхөрт чинь ховлохгүйэ,ᠠᠪᠠᠯᠢ ᠨᠥᠬᠥᠷ ᠲᠦ ᠴᠢᠨᠢ ᠬᠣᠪᠯᠠᠬᠤ ᠦᠭᠡᠢ ᠪᠡᠨ,train
авто машингүй ч биеийн тамиртай,ᠠᠦ᠋ᠲ᠋ᠣ᠋ ᠮᠠᠰᠢᠨ ᠦᠭᠡᠢ ᠴᠤ ᠪᠡᠶ᠎ᠡ ᠶᠢᠨ ᠲᠠᠮᠢᠷ ᠲᠠᠢ,train
авах гэсэн зарим гичийнүүд бандаашаа тайчна,ᠠᠪᠬᠤ ᠭᠡᠰᠡᠨ ᠵᠠᠷᠢᠮ ᠭᠢᠴᠢᠢ ᠨᠦᠭᠦᠳ ᠪᠠᠨᠳᠠᠰᠢ ᠪᠠᠨ ᠲᠠᠶᠢᠴᠢᠨ᠎ᠠ,train
авралын ширээнд залав аа хө,ᠠᠪᠤᠷᠠᠯ ᠤᠨ ᠰᠢᠷᠡᠭᠡᠨ ᠳᠦ ᠵᠠᠯᠠᠪᠠ ᠠ ᠬᠥ,train
аваачаад өгье гэсэн чинь,ᠠᠪᠠᠴᠢᠭᠠᠳ ᠥᠭᠭᠦᠶ᠎ᠡ ᠭᠡᠰᠡᠨ ᠴᠢᠨᠢ,train
авгай гэтэл акуарамд байгаа алтан заганаас,ᠠᠪᠤᠭᠠᠢ ᠭᠡᠲᠡᠯ᠎ᠡ ᠠᠺᠦ᠋ᠢᠷᠠᠮ ᠳᠤ ᠪᠠᠶᠢᠭ᠎ᠠ ᠠᠯᠲᠠᠨ ᠵᠠᠭᠠᠨ ᠠᠴᠠ,train
авилгал хээл хахууль бас үзэн ядуурал,ᠠᠪᠯᠢᠭᠠᠯ ᠬᠡᠭᠡᠯᠢ ᠬᠠᠬᠤᠤᠯᠢ ᠪᠠᠰᠠ ᠦᠵᠡᠨ ᠶᠠᠳᠠᠭᠤᠷᠠᠯ,train
авилгачдын гарыг тас цохь,ᠠᠪᠯᠢᠭᠠᠴᠢᠳ ᠤᠨ ᠭᠠᠷ ᠢ ᠲᠠᠰᠤ ᠴᠣᠬᠢ,train
авилгалд автагдсан тэр муу далан зургаа,ᠠᠪᠯᠢᠭᠠᠯ ᠳᠤ ᠠᠪᠲᠠᠭᠳᠠᠭᠰᠠᠨ ᠲᠡᠷᠡ ᠮᠠᠭᠤ ᠳᠠᠯᠠᠨ ᠵᠢᠷᠭᠤᠭ᠎ᠠ,train
авгай авахаа дуулдаггүй юм ай хөөрхий тэр эзэлхүүн,ᠠᠪᠤᠭᠠᠢ ᠠᠪᠬᠤ ᠪᠠᠨ ᠳᠠᠭᠤᠯᠠᠳᠠᠭ ᠦᠭᠡᠢ ᠶᠤᠮ ᠠᠢ ᠬᠥᠭᠡᠷᠦᠬᠦᠢ ᠲᠡᠷᠡ ᠡᠵᠡᠯᠡᠬᠦᠨ,train
авгын цагаан ууланд нь хө,ᠠᠪᠠᠭ᠎ᠠ ᠶᠢᠨ ᠴᠠᠭᠠᠨ ᠠᠭᠤᠯᠠᠨ ᠳᠤ ᠨᠢ ᠬᠥ,train
аврал эрэн дотроо хашгарч байдгийг мэдэх үү хэлдээ тэ,ᠠᠪᠤᠷᠠᠯ ᠡᠷᠢᠨ ᠳᠣᠲᠣᠷ᠎ᠠ ᠪᠠᠨ ᠬᠠᠰᠭᠢᠷᠴᠢ ᠪᠠᠶᠢᠳᠠᠭ ᠢ ᠮᠡᠳᠡᠬᠦ ᠦᠦ ᠬᠡᠯᠡ ᠳᠦ ᠪᠡᠨ ᠲᠡ,train
